,meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
819,68.0,Magnetica,DS,"Jun 5, 2006",8.1,/game/ds/magnetica,E,['Mitchell'],"['Miscellaneous', 'Puzzle', 'General', 'Matching']"
820,89.0,New Super Mario Bros.,DS,"May 15, 2006",8.5,/game/ds/new-super-mario-bros,E,['Nintendo'],"['Action', '2D', 'Platformer']"
821,77.0,Brain Age: Train Your Brain in Minutes a Day!,DS,"Apr 17, 2006",7.7,/game/ds/brain-age-train-your-brain-in-minutes-a-day!,E,['Nintendo'],"['Miscellaneous', 'Edutainment']"
822,62.0,Odama,GC,"Apr 10, 2006",8.0,/game/gamecube/odama,E10+,['Vivarium'],"['Parlor', 'Pinball', 'Miscellaneous']"
823,85.0,Metroid Prime: Hunters,DS,"Mar 20, 2006",7.9,/game/ds/metroid-prime-hunters,T,"['Nintendo', ' Nintendo Software Technology']","['Arcade', 'Action', 'Sci-Fi', 'First-Person', 'Shooter']"
824,84.0,Tetris DS,DS,"Mar 20, 2006",8.0,/game/ds/tetris-ds,E,['Nintendo'],"['Stacking', 'Miscellaneous', 'Puzzle']"
825,74.0,Pokemon Trozei!,DS,"Mar 6, 2006",7.3,/game/ds/pokemon-trozei!,E,['Genius Sonority Inc.'],"['Miscellaneous', 'Puzzle', 'Matching']"
826,76.0,Tales of Phantasia,GBA,"Mar 6, 2006",8.0,/game/game-boy-advance/tales-of-phantasia,E10+,['Namco'],"['Role-Playing', 'Console-style RPG']"
827,75.0,Super Princess Peach,DS,"Feb 27, 2006",7.8,/game/ds/super-princess-peach,E,['TOSE'],"['Action', '2D', 'Platformer']"
828,75.0,Chibi-Robo!,GC,"Feb 6, 2006",8.7,/game/gamecube/chibi-robo!,E10+,['Skip Ltd.'],"['Fantasy', 'Action Adventure']"
829,81.0,Drill Dozer,GBA,"Feb 6, 2006",8.8,/game/game-boy-advance/drill-dozer,E,['Game Freak'],"['Action', '2D', 'Platformer']"
830,66.0,True Swing Golf,DS,"Jan 23, 2006",7.7,/game/ds/true-swing-golf,E,['T&E Soft'],"['Arcade', 'Individual', 'Golf', 'Sim', 'Traditional', 'Sports']"
831,85.0,Final Fantasy IV Advance,GBA,"Dec 12, 2005",8.4,/game/game-boy-advance/final-fantasy-iv-advance,E10+,['TOSE'],"['Role-Playing', 'Console-style RPG']"
832,76.0,Super Mario Strikers,GC,"Dec 5, 2005",8.6,/game/gamecube/super-mario-strikers,E,['Next Level Games'],"['Soccer', 'Arcade', 'Sports', 'Traditional']"
833,81.0,Mario Tennis: Power Tour,GBA,"Dec 5, 2005",8.4,/game/game-boy-advance/mario-tennis-power-tour,E,['Camelot Software Planning'],"['Tennis', 'Sports', 'Traditional']"
834,86.0,Mario & Luigi: Partners in Time,DS,"Nov 28, 2005",8.5,/game/ds/mario-luigi-partners-in-time,E,['Alphadream Corporation'],"['Role-Playing', 'Console-style RPG', 'Japanese-Style']"
835,74.0,Dr. Mario / Puzzle League,GBA,"Nov 28, 2005",7.8,/game/game-boy-advance/dr-mario-puzzle-league,E,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Matching']"
836,91.0,Mario Kart DS,DS,"Nov 14, 2005",8.7,/game/ds/mario-kart-ds,E,['Nintendo'],"['Arcade', 'Kart', 'Driving', 'Racing', 'Automobile']"
837,64.0,Mario Party 7,GC,"Nov 7, 2005",7.8,/game/gamecube/mario-party-7,E,['Hudson'],"['Party', 'Miscellaneous']"
838,77.0,Donkey Kong Country 3,GBA,"Nov 7, 2005",8.3,/game/game-boy-advance/donkey-kong-country-3,E,['Rare Ltd.'],"['Action', '2D', 'Platformer']"
839,79.0,Metroid Prime Pinball,DS,"Oct 24, 2005",7.9,/game/ds/metroid-prime-pinball,E,['Fuse Games Limited'],"['Parlor', 'Action', 'Miscellaneous', 'Pinball']"
840,,Nintendogs: Best Friends,DS,"Oct 24, 2005",7.7,/game/ds/nintendogs-best-friends,E,['Nintendo'],"['Simulation', 'Virtual', 'Pet', 'Miscellaneous', 'Virtual Life']"
841,69.0,Dance Dance Revolution: Mario Mix,GC,"Oct 24, 2005",7.9,/game/gamecube/dance-dance-revolution-mario-mix,E,['Hudson'],"['Rhythm', 'Miscellaneous', 'Dancing']"
842,85.0,Fire Emblem: Path of Radiance,GC,"Oct 17, 2005",8.9,/game/gamecube/fire-emblem-path-of-radiance,T,['Intelligent Systems'],"['Turn-Based', 'Strategy', 'Fantasy']"
843,64.0,Pokemon XD: Gale of Darkness,GC,"Sep 28, 2005",8.2,/game/gamecube/pokemon-xd-gale-of-darkness,E,['Genius Sonority Inc.'],"['Role-Playing', 'Console-style RPG']"
844,70.0,Trace Memory,DS,"Sep 27, 2005",8.2,/game/ds/trace-memory,T,['Cing'],"['Adventure', 'Point-and-Click', 'General']"
845,76.0,Battalion Wars,GC,"Sep 19, 2005",8.5,/game/gamecube/battalion-wars,T,['Kuju Entertainment'],"['Action', 'Modern', 'Third-Person', 'Shooter']"
846,70.0,DK: King of Swing,GBA,"Sep 19, 2005",5.0,/game/game-boy-advance/dk-king-of-swing,E,['Paon Corporation'],"['Action', '2D', 'Platformer']"
847,76.0,Mario Superstar Baseball,GC,"Aug 29, 2005",8.5,/game/gamecube/mario-superstar-baseball,E,['Namco'],"['Arcade', 'Sports', 'Baseball', 'Traditional']"
848,56.0,Dynasty Warriors Advance,GBA,"Aug 29, 2005",8.5,/game/game-boy-advance/dynasty-warriors-advance,E,['Koei'],"['Action', ""Beat-'Em-Up""]"
849,90.0,Advance Wars: Dual Strike,DS,"Aug 22, 2005",8.9,/game/ds/advance-wars-dual-strike,E,['Intelligent Systems'],"['Modern', 'Turn-Based', 'Tactics', 'Strategy']"
850,83.0,Nintendogs: Chihuahua & Friends,DS,"Aug 22, 2005",8.0,/game/ds/nintendogs-chihuahua-friends,E,['Nintendo'],"['Simulation', 'Virtual', 'Pet', 'Miscellaneous', 'Virtual Life']"
851,83.0,Nintendogs: Dachshund & Friends,DS,"Aug 22, 2005",7.9,/game/ds/nintendogs-dachshund-friends,E,['Nintendo'],"['Simulation', 'Virtual', 'Pet', 'Miscellaneous', 'Virtual Life']"
852,83.0,Nintendogs: Lab & Friends,DS,"Aug 22, 2005",7.6,/game/ds/nintendogs-lab-friends,E,['Nintendo'],"['Simulation', 'Virtual', 'Pet', 'Miscellaneous', 'Virtual Life']"
853,66.0,Geist,GC,"Aug 15, 2005",8.2,/game/gamecube/geist,M,['n-Space'],"['Action', 'First-Person', 'Sci-Fi', 'Shooter']"
854,88.0,Meteos,DS,"Jun 28, 2005",7.4,/game/ds/meteos,E,['Q Entertainment'],"['Miscellaneous', 'Puzzle', 'Matching']"
855,86.0,Kirby: Canvas Curse,DS,"Jun 13, 2005",7.8,/game/ds/kirby-canvas-curse,E,['HAL Labs'],"['Action', '2D', 'Platformer']"
856,60.0,Yoshi Topsy-Turvy,GBA,"Jun 13, 2005",6.8,/game/game-boy-advance/yoshi-topsy-turvy,E,['Artoon'],"['Action', '2D', 'Platformer']"
857,85.0,Fire Emblem: The Sacred Stones,GBA,"May 23, 2005",8.9,/game/game-boy-advance/fire-emblem-the-sacred-stones,E,['Intelligent Systems'],"['Turn-Based', 'Strategy', 'Fantasy']"
858,88.0,WarioWare: Twisted!,GBA,"May 23, 2005",8.7,/game/game-boy-advance/warioware-twisted!,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
859,69.0,Donkey Konga 2,GC,"May 9, 2005",6.4,/game/gamecube/donkey-konga-2,T,['Namco'],"['Rhythm', 'Music', 'Miscellaneous']"
860,54.0,Mario Party Advance,GBA,"Mar 28, 2005",5.1,/game/game-boy-advance/mario-party-advance,E,['Hudson'],"['Party', 'Miscellaneous']"
861,73.0,Yoshi Touch & Go,DS,"Mar 14, 2005",7.0,/game/ds/yoshi-touch-go,E,['Nintendo'],"['Action', '2D', 'Platformer']"
862,46.0,Pokemon Dash,DS,"Mar 14, 2005",5.3,/game/ds/pokemon-dash,E,['Ambrella'],"['Arcade', 'Other', 'On-foot', 'Driving', 'Racing']"
863,80.0,Donkey Kong Jungle Beat,GC,"Mar 14, 2005",8.2,/game/gamecube/donkey-kong-jungle-beat,E10+,['Nintendo'],"['Action', '2D', 'Platformer']"
864,81.0,WarioWare: Touched!,DS,"Feb 14, 2005",8.1,/game/ds/warioware-touched!,E,['Intelligent Systems'],"['Party / Minigame', 'Miscellaneous', 'Puzzle', 'General']"
865,67.0,Star Fox: Assault,GC,"Feb 14, 2005",8.1,/game/gamecube/star-fox-assault,T,['Namco'],"['Action', 'Sci-Fi', 'Third-Person', 'Shooter']"
866,89.0,The Legend of Zelda: The Minish Cap,GBA,"Jan 10, 2005",8.9,/game/game-boy-advance/the-legend-of-zelda-the-minish-cap,E,['Flagship'],"['Fantasy', 'Action Adventure']"
867,71.0,Mario Party 6,GC,"Dec 6, 2004",8.0,/game/gamecube/mario-party-6,E,['Hudson Soft'],"['Party', 'Miscellaneous']"
868,79.0,Final Fantasy I & II: Dawn of Souls,GBA,"Nov 29, 2004",8.0,/game/game-boy-advance/final-fantasy-i-ii-dawn-of-souls,E,['Tose Software'],"['Role-Playing', 'Console-style RPG']"
869,,PictoChat,DS,"Nov 21, 2004",8.1,/game/ds/pictochat,,['Nintendo'],"['Miscellaneous', 'Application', 'General']"
870,85.0,Super Mario 64 DS,DS,"Nov 20, 2004",8.3,/game/ds/super-mario-64-ds,E,['Nintendo'],"['3D', 'Action', 'Platformer']"
871,,Nintendo DS,DS,"Nov 20, 2004",8.8,/game/ds/nintendo-ds,,['Nintendo'],"['Console', 'Hardware']"
872,,Metroid Prime: Hunters - First Hunt,DS,"Nov 20, 2004",,/game/ds/metroid-prime-hunters---first-hunt,RP,['Nintendo Software Technology'],"['Action', 'Arcade', 'First-Person', 'Shooter']"
