,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
33,frozenset({'Third-Person'}),frozenset({'Action'}),0.014242115971515769,0.34689725330620547,0.01017293997965412,0.7142857142857143,2.059069962295769,0.00523238906786686,2.285859613428281
34,frozenset({'Fantasy'}),frozenset({'Action Adventure'}),0.08646998982706001,0.0671414038657172,0.03560528992878942,0.411764705882353,6.132798573975045,0.029799573419546324,1.585859613428281
35,frozenset({'Action Adventure'}),frozenset({'Fantasy'}),0.0671414038657172,0.08646998982706001,0.03560528992878942,0.5303030303030303,6.132798573975045,0.029799573419546324,1.9449348603681946
36,frozenset({'General'}),frozenset({'Action Adventure'}),0.23601220752797558,0.0671414038657172,0.0254323499491353,0.10775862068965518,1.6049503657262278,0.009586159006260035,1.0455226777930127
37,frozenset({'Action Adventure'}),frozenset({'General'}),0.0671414038657172,0.23601220752797558,0.0254323499491353,0.3787878787878788,1.6049503657262278,0.009586159006260035,1.2298340073939906
38,frozenset({'Open-World'}),frozenset({'Action Adventure'}),0.019328585961342827,0.0671414038657172,0.019328585961342827,1.0,14.893939393939393,0.018030837565159077,inf
39,frozenset({'Action Adventure'}),frozenset({'Open-World'}),0.0671414038657172,0.019328585961342827,0.019328585961342827,0.28787878787878785,14.893939393939393,0.018030837565159077,1.377113049501093
40,frozenset({'Role-Playing'}),frozenset({'Action RPG'}),0.1363173957273652,0.03662258392675483,0.03662258392675483,0.26865671641791045,7.335820895522388,0.03163028866105275,1.3172711607532126
41,frozenset({'Action RPG'}),frozenset({'Role-Playing'}),0.03662258392675483,0.1363173957273652,0.03662258392675483,1.0,7.335820895522389,0.03163028866105275,inf
42,frozenset({'Adventure'}),frozenset({'General'}),0.019328585961342827,0.23601220752797558,0.014242115971515769,0.736842105263158,3.122050816696915,0.009680333730385009,2.9031536113936935
43,frozenset({'General'}),frozenset({'Adventure'}),0.23601220752797558,0.019328585961342827,0.014242115971515769,0.0603448275862069,3.122050816696915,0.009680333730385009,1.0436503121879288
44,frozenset({'Application'}),frozenset({'General'}),0.029501525940996948,0.23601220752797558,0.015259409969481181,0.5172413793103449,2.191587395957194,0.008296689706702654,1.5825461415491935
45,frozenset({'General'}),frozenset({'Application'}),0.23601220752797558,0.029501525940996948,0.015259409969481181,0.06465517241379311,2.191587395957194,0.008296689706702654,1.0375836220354318
46,frozenset({'Miscellaneous'}),frozenset({'Application'}),0.2685656154628688,0.029501525940996948,0.029501525940996948,0.10984848484848485,3.7234848484848486,0.021578430469559314,1.0902621155386247
47,frozenset({'Application'}),frozenset({'Miscellaneous'}),0.029501525940996948,0.2685656154628688,0.029501525940996948,1.0,3.723484848484848,0.021578430469559314,inf
48,frozenset({'Arcade'}),frozenset({'Automobile'}),0.06408952187182096,0.014242115971515769,0.014242115971515769,0.2222222222222222,15.603174603174601,0.013329345568458297,1.2674029937509081
49,frozenset({'Automobile'}),frozenset({'Arcade'}),0.014242115971515769,0.06408952187182096,0.014242115971515769,1.0,15.603174603174603,0.013329345568458297,inf
50,frozenset({'Arcade'}),frozenset({'Driving'}),0.06408952187182096,0.03967446592065107,0.018311291963377416,0.2857142857142857,7.201465201465201,0.015768574412003036,1.3444557477110886
51,frozenset({'Driving'}),frozenset({'Arcade'}),0.03967446592065107,0.06408952187182096,0.018311291963377416,0.46153846153846156,7.201465201465202,0.015768574412003036,1.7381194593809042
52,frozenset({'Arcade'}),frozenset({'Racing'}),0.06408952187182096,0.044760935910478125,0.023397761953204477,0.36507936507936506,8.156204906204906,0.020529054972166713,1.504501525940997
53,frozenset({'Racing'}),frozenset({'Arcade'}),0.044760935910478125,0.06408952187182096,0.023397761953204477,0.5227272727272728,8.156204906204907,0.020529054972166713,1.9609552875066614
54,frozenset({'Arcade'}),frozenset({'Shooter'}),0.06408952187182096,0.03662258392675483,0.012207527975584944,0.19047619047619047,5.201058201058201,0.00986040408200859,1.1900544551493029
55,frozenset({'Shooter'}),frozenset({'Arcade'}),0.03662258392675483,0.06408952187182096,0.012207527975584944,0.3333333333333333,5.201058201058201,0.00986040408200859,1.4038657171922684
56,frozenset({'Arcade'}),frozenset({'Sports'}),0.06408952187182096,0.06408952187182096,0.022380467955239063,0.3492063492063492,5.448727639203829,0.018273001141480446,1.4381063444408604
57,frozenset({'Sports'}),frozenset({'Arcade'}),0.06408952187182096,0.06408952187182096,0.022380467955239063,0.3492063492063492,5.448727639203829,0.018273001141480446,1.4381063444408604
